,Country,Year,Suicides per 100k
0,Albania,1985,0.0
1,Albania,1986,0.0
2,Albania,1987,31.85
3,Albania,1988,32.46
4,Albania,1989,33.400000000000006
5,Albania,1990,0.0
6,Albania,1991,0.0
7,Albania,1992,18.0
8,Albania,1993,32.56
9,Albania,1994,32.18
10,Albania,1995,40.55000000000001
11,Albania,1996,43.620000000000005
12,Albania,1997,77.42999999999999
13,Albania,1998,66.52
14,Albania,1999,69.81
15,Albania,2000,30.7
16,Albania,2001,50.61999999999999
17,Albania,2002,62.50999999999999
18,Albania,2003,58.599999999999994
19,Albania,2004,65.39
20,Albania,2005,0.0
21,Albania,2006,0.0
22,Albania,2007,65.85
23,Albania,2008,71.05000000000001
24,Albania,2009,0.0
25,Albania,2010,41.66
26,Albania,2011,0.0
27,Albania,2012,0.0
28,Albania,2013,0.0
29,Albania,2014,0.0
30,Albania,2015,0.0
31,Albania,2016,0.0
32,Antigua and Barbuda,1985,0.0
33,Antigua and Barbuda,1986,0.0
34,Antigua and Barbuda,1987,0.0
35,Antigua and Barbuda,1988,0.0
36,Antigua and Barbuda,1989,0.0
37,Antigua and Barbuda,1990,17.24
38,Antigua and Barbuda,1991,0.0
39,Antigua and Barbuda,1992,0.0
40,Antigua and Barbuda,1993,15.0
41,Antigua and Barbuda,1994,0.0
42,Antigua and Barbuda,1995,0.0
43,Antigua and Barbuda,1996,0.0
44,Antigua and Barbuda,1997,0.0
45,Antigua and Barbuda,1998,0.0
46,Antigua and Barbuda,1999,0.0
47,Antigua and Barbuda,2000,39.97
48,Antigua and Barbuda,2001,19.45
49,Antigua and Barbuda,2002,0.0
50,Antigua and Barbuda,2003,27.82
51,Antigua and Barbuda,2004,36.06
52,Antigua and Barbuda,2005,0.0
53,Antigua and Barbuda,2006,0.0
54,Antigua and Barbuda,2007,7.98
55,Antigua and Barbuda,2008,0.0
56,Antigua and Barbuda,2009,0.0
57,Antigua and Barbuda,2010,0.0
58,Antigua and Barbuda,2011,0.0
59,Antigua and Barbuda,2012,0.0
60,Antigua and Barbuda,2013,0.0
61,Antigua and Barbuda,2014,0.0
62,Antigua and Barbuda,2015,15.62
63,Antigua and Barbuda,2016,0.0
64,Argentina,1985,134.47
65,Argentina,1986,152.90000000000003
66,Argentina,1987,144.97999999999996
67,Argentina,1988,146.24000000000004
68,Argentina,1989,138.93
69,Argentina,1990,134.89999999999998
70,Argentina,1991,119.23999999999998
71,Argentina,1992,126.86000000000001
72,Argentina,1993,134.77
73,Argentina,1994,122.05
74,Argentina,1995,119.97
75,Argentina,1996,118.03
76,Argentina,1997,111.39999999999999
77,Argentina,1998,116.92999999999998
78,Argentina,1999,117.18999999999998
79,Argentina,2000,131.39
80,Argentina,2001,143.55999999999997
81,Argentina,2002,139.42
82,Argentina,2003,146.29
83,Argentina,2004,131.05999999999997
84,Argentina,2005,128.17999999999998
85,Argentina,2006,128.22
